time_ms,roll_deg,u_deg,motor_pos
25026,-161.03,-0.35,0.45
25058,-162.28,-0.35,0.45
25091,-163.8,-0.35,0.45
25122,-163.64,-0.35,0.45
25153,-161.65,-0.35,0.45
25184,-161.97,-0.35,0.45
25215,-163.35,-0.35,0.45
25247,-163.51,-0.35,0.45
25278,-162.57,-0.35,0.45
25310,-161.95,-0.35,0.45
25343,-162.46,-0.35,0.45
25374,-163.32,-0.35,0.45
25405,-162.93,-0.35,0.45
25436,-162.23,-0.35,0.45
25467,-162.35,-0.35,0.45
25499,-162.91,-0.35,0.45
25531,-163,-0.35,0.45
25563,-162.63,-0.35,0.45
25594,-162.37,-0.35,0.45
25625,-162.72,-0.35,0.45
25657,-162.94,-0.35,0.45
25688,-162.69,-0.35,0.45
25719,-162.39,-0.35,0.45
25751,-162.57,-0.35,0.45
25782,-162.82,-0.35,0.45
25815,-162.73,-0.35,0.45
25846,-162.51,-0.35,0.45
25877,-162.61,-0.35,0.45
25908,-162.75,-0.35,0.45
25939,-162.7,-0.35,0.45
25970,-162.56,-0.35,0.45
26003,-162.61,-0.35,0.45
26034,-162.74,-0.35,0.45
26066,-162.7,-0.35,0.45
26097,-162.6,-0.35,0.45
26128,-162.67,-0.35,0.45
26159,-162.71,-0.35,0.45
26191,-162.65,-0.35,0.45
26222,-162.62,-0.35,0.45
26254,-162.67,-0.35,0.45
26286,-162.7,-0.35,0.45
26317,-162.62,-0.35,0.45
26348,-162.63,-0.35,0.45
26379,-162.71,-0.35,0.45
26411,-162.68,-0.35,0.45
26444,-162.63,-0.35,0.45
26475,-162.65,-0.35,0.45
26507,-162.67,-0.35,0.45
26538,-162.66,-0.35,0.45
26569,-162.65,-0.35,0.45
26600,-162.65,-0.35,0.45
26644,-162.67,-0.35,0.45
26676,-162.65,-0.35,0.45
26707,-162.65,0.4,0.45
26738,-162.77,0.4,0.45
26770,-165.18,0.4,0.46
26801,-166.91,0.4,0.47
26832,-165.93,0.4,0.47
26864,-164.26,0.4,0.46
26897,-164.1,0.4,0.46
26928,-165.64,0.4,0.47
26959,-166.16,0.4,0.47
26990,-164.79,0.4,0.46
27021,-164.41,0.4,0.46
27053,-165.26,0.4,0.46
27085,-165.93,0.4,0.47
27117,-165.61,0.4,0.47
27149,-164.86,0.4,0.46
27180,-164.97,0.4,0.46
27211,-165.66,0.4,0.47
27242,-165.64,0.4,0.47
27273,-165.13,0.4,0.46
27305,-164.89,0.4,0.46
27337,-165.16,0.4,0.46
27369,-165.51,0.4,0.47
27400,-165.42,0.4,0.47
27440,-165.11,0.4,0.46
27471,-165.1,0.4,0.46
27502,-165.28,0.4,0.46
27533,-165.37,0.4,0.47
27565,-165.32,-0.4,0.47
27598,-165.22,-0.4,0.46
27629,-163.44,-0.4,0.45
27660,-161.39,-0.4,0.45
27691,-162.59,-0.4,0.45
27722,-164.06,-0.4,0.45
27753,-163.9,-0.4,0.45
27785,-162.35,-0.4,0.45
27817,-161.9,-0.4,0.45
27849,-163.22,-0.4,0.45
27881,-163.89,-0.4,0.45
27912,-162.88,-0.4,0.45
27943,-162.23,-0.4,0.45
27974,-162.68,-0.4,0.45
28007,-163.45,-0.4,0.45
28038,-163.41,-0.4,0.45
28070,-162.7,-0.4,0.45
28101,-162.58,-0.4,0.45
28133,-163.15,-0.4,0.45
28164,-163.26,-0.4,0.45
28195,-162.88,-0.4,0.45
28226,-162.57,-0.4,0.45
28258,-162.83,-0.4,0.45
28289,-163.13,-0.4,0.45
28322,-163.03,-0.4,0.45
28353,-162.68,-0.4,0.45
28384,-162.95,-0.4,0.45
28415,-163.1,-0.4,0.45
28446,-162.91,-0.4,0.45
28477,-162.74,-0.4,0.45
28510,-162.86,-0.4,0.45
28542,-163.03,-0.4,0.45
28573,-162.91,-0.4,0.45
28604,-162.77,-0.4,0.45
28635,-162.89,-0.4,0.45
28666,-163,-0.4,0.45
28697,-162.91,-0.4,0.45
28729,-162.82,-0.4,0.45
28761,-162.89,-0.4,0.45
28793,-162.95,-0.4,0.45
28824,-162.87,-0.4,0.45
28855,-162.84,-0.4,0.45
28886,-162.9,-0.4,0.45
28917,-162.9,-0.4,0.45
28950,-162.84,-0.4,0.45
28981,-162.85,-0.4,0.45
29013,-162.91,-0.4,0.45
29044,-162.84,-0.4,0.45
29075,-162.81,-0.4,0.45
29106,-162.88,-0.4,0.45
29138,-162.9,-0.4,0.45
29170,-162.86,-0.4,0.45
29202,-162.85,-0.4,0.45
29234,-162.85,0.45,0.45
29265,-163.17,0.45,0.45
29296,-165.87,0.45,0.47
29327,-167.18,0.45,0.47
29359,-165.88,0.45,0.47
29390,-164.29,0.45,0.46
29423,-164.5,0.45,0.46
29455,-166.16,0.45,0.47
29486,-166.17,0.45,0.47
29517,-164.75,0.45,0.46
29548,-164.72,0.45,0.46
