axis,scenario,controller,window,RMSE,MAE,peak,IAE,ISE,effort,u_rms,u_max,sse,in_1deg,in_2deg
roll,half,mrac,acq,0.5911382916600088,0.10572260658850971,5.9882302884874,2.0087295251816846,6.639445117467557,0.1856992644786173,2.6953660302842053,2.8800016781881683,0.008874696537700039,98.02631578947368,98.35526315789474
roll,half,mrac,dist,1.2351720759661768,0.8682969502950261,5.994308547452347,52.097817017701566,91.53900343479569,1.4616404305444273,1.1918181051807564,3.162930324711383,-0.017111005326178097,61.458333333333336,85.83333333333333
roll,full,pid,acq,0.5141973330019246,0.10296282016281051,5.994068843150144,1.9562935830933998,5.02357904805955,0.2033827724306904,2.6838118957224704,2.722347624010973,-0.009721239034282264,98.19078947368422,98.68421052631578
roll,full,pid,dist,1.1579754320267435,0.851974849277837,6.027619853390576,51.118490956670215,80.45442607065138,1.6905211564403855,1.207061601381895,3.1558531654660285,0.009930933128059573,63.38541666666667,88.125
roll,full,rst,acq,0.5899173436319866,0.09619214043945737,5.988121956963529,1.82765066834969,6.612046974038567,0.177917287109686,2.683238876985683,2.8114874625439272,-0.012448523464312827,98.02631578947368,98.35526315789474
roll,full,rst,dist,1.262629131295509,0.8848560879679765,5.982467098149392,53.09136527807859,95.65393939176309,1.3427282667843166,1.2209668815040031,3.2455131106525315,-0.007361165802519096,59.21875,85.98958333333333
roll,full,lqr,acq,0.4708179798126381,0.10985162817524217,6.00857649764079,2.0871809353296014,4.211721832182221,0.27289763324597516,2.689887188800512,2.7265949026176184,-0.012333452679893053,98.84868421052632,99.17763157894737
roll,full,lqr,dist,1.131784248975258,0.8217973652567087,6.080235543324985,49.30784191540252,76.85613517370933,2.0629445750043303,1.2266397832663742,3.171793905032069,0.02492679584842715,73.33333333333333,88.80208333333334
roll,full,lqg,acq,0.5481506840545743,0.10833467737435215,5.998977912688901,2.058358870112691,5.708914276160458,0.22250037847860066,2.683214550369543,2.7180669950706724,-0.008114368493647023,98.35526315789474,98.68421052631578
roll,full,lqg,dist,1.2406204229954874,0.8997821652627208,5.999751943139913,53.98692991576325,92.34834203721012,1.701094015744087,1.2130864303403261,3.1554796455102334,-0.009408082586071995,61.354166666666664,86.14583333333333
roll,full,mrac,acq,0.5912696740379416,0.1043672261346314,5.988121956963529,1.9829772965579966,6.6423967213017425,0.18514142543058346,2.6939211767173856,2.8800016781881683,-0.001962294372371637,98.02631578947368,98.35526315789474
roll,full,mrac,dist,1.2366118501074614,0.8696448732172636,5.998656853053788,52.17869239303582,91.75253206957191,1.4634552660559217,1.1919664323267736,3.1622411139510773,-0.0210721096611928,61.458333333333336,85.78125
pitch,empty,pid,acq,0.7731185332424244,0.18897349358762372,5.9937976639229795,3.5904963781648505,11.356533062415437,0.055137803964391184,0.9440498480978103,0.9677214987478278,-0.00963100996638551,94.90131578947368,96.71052631578947
pitch,empty,pid,dist,1.6593582483281215,1.277474179448558,5.98880530624303,76.64845076691348,165.2081877776743,0.343259355808985,0.3881373578640267,1.1077324418418673,-0.00619043193811733,45.104166666666664,72.34375
pitch,empty,rst,acq,0.5911875234306332,0.09540468248934149,5.9886904507116085,1.8126889672974882,6.640551069340864,0.06963494911072146,0.9577269065756202,1.002264508678874,-0.011834571339214978,98.02631578947368,98.35526315789474
pitch,empty,rst,dist,1.2632611681124526,0.8745632657770686,5.986037294700296,52.473795946624115,95.7497267316503,0.4470792731094767,0.4349118771739399,1.158591117052821,-0.007212834448442895,59.27083333333333,86.09375
pitch,empty,lqr,acq,0.4958094504654588,0.07647198221236755,6.013761538235908,1.4529676620349834,4.670713212246345,0.26711744592496495,0.9585983990454343,0.9753675145906597,-0.011658308037857418,98.51973684210526,98.68421052631578
pitch,empty,lqr,dist,1.0788896865405213,0.7350157348012905,5.990016160329999,44.100944088077426,69.84017734341026,0.5716729872916062,0.43148649317365767,1.1324610113379427,-0.0070787189519416,66.82291666666667,90.20833333333333
pitch,empty,lqg,acq,0.6294789377336176,0.10675257116690118,5.997674956854267,2.0282988521711225,7.528630927954629,0.14260881407831189,0.9551210986285726,0.9713898474328573,-0.011105830902262373,97.5328947368421,98.35526315789474
pitch,empty,lqg,dist,1.3542743936337138,0.9605333203443249,5.984682727264239,57.631999220659495,110.0435479951178,0.4737857227525199,0.42659395741207884,1.1285278056654915,-0.006764733795455682,55.46875,86.25
pitch,empty,mrac,acq,0.5922963270225671,0.1230914028882745,5.9886904507116085,2.3387366548772155,6.665483841084051,0.0716287917876917,0.9529965409289773,1.0177247832520593,-0.030884519812433175,98.02631578947368,98.51973684210526
